kode_nama,scopus_h_index,googlescholar_h_index,sinta_3yr_score,sinta_score,affil_3yr_score,affil_score
C0233C4F,3,10,223,443,0,0
036A27B5,3,27,399,703,0,0
E2B61FF1,0,11,145,356,0,0
A91A80C2,5,0,976,"1,378",0,0
5E1CA9C9,2,12,250,420,0,0
D4541E0B,2,7,84,295,0,0
7A3AF3EB,2,21,278,515,0,0
BD3227F4,1,1,66,123,0,0
032F38D9,2,31,345,731,0,0
4C06113E,1,4,76,165,0,0
6B2046F0,2,15,243,363,0,0
E1005289,1,11,53,249,0,0
7B39DA44,2,22,633,"1,443",0,0
B8BFE6D2,3,16,288,"1,124",0,0
3AE52598,1,11,131,375,0,0
814A6C7C,1,7,80,393,0,0
206C07DF,0,6,66,215,0,0
4EA91453,1,7,114,150,0,0
C419B9F8,0,0,7,680,0,0
9384BCCE,1,6,156,258,0,0
86D3F17B,1,6,143,250,0,0
C2DDDEEA,5,31,"1,224","2,132",0,0
8353C0D9,2,14,316,668,0,0
62A3322F,0,8,20,158,0,0
D5D5B92A,0,0,0,1,0,0
55B42B3C,1,11,147,427,0,0
AD8D0D5D,1,5,45,97,0,0
1D0AB876,0,0,5,11,0,0
9D9DC044,0,5,33,171,0,0
8599DF61,,,,,,
6D1E1E3F,1,6,75,286,0,0
512522F1,0,6,40,149,0,0
E6E0045F,0,5,28,115,0,0
AE2ED1D6,0,0,10,41,0,0
56C6C1A2,0,2,13,60,0,0
F459A4B6,0,6,11,127,0,0
F37689E9,2,3,18,94,0,0
E97C4B8A,0,7,7,159,0,0
2476CA60,5,13,594,791,0,0
866BD7B8,0,4,75,144,0,0
A6B0DA4E,0,8,39,218,0,0
A36C171D,0,6,126,717,0,0
07C8D3B0,0,0,2,165,0,0
618356E3,2,8,367,897,0,0
D466906B,0,4,109,214,0,0
71E121A5,,,,,,
72611640,,,,,,
4D5DE663,,,,,,
C61EF3BA,2,8,341,500,0,0
EE13AB76,0,5,3,95,0,0
06A24CDD,1,6,112,536,0,0
FA6E2B69,0,0,0,0,0,0
1DDFA65A,0,3,2,25,0,0
7E130893,1,4,22,97,0,0
7F6AA7AC,0,5,199,"1,358",0,0
1FE8F490,5,5,422,983,0,0
DE7460C5,0,0,0,0,0,0
378EF1DE,0,11,19,224,0,0
C1CAD26E,2,10,254,506,0,0
960313F3,0,8,31,219,0,0
C941BEC7,1,10,358,806,0,0
474A635C,2,0,19,24,0,0
F7E907DA,1,3,69,151,0,0
EBE1C575,3,8,179,504,0,0
71F51B65,1,4,43,93,0,0
92DA0FAA,0,4,56,189,0,0
8882361E,2,6,130,199,0,0
A6FFA938,0,8,58,383,0,0
60A37D76,0,11,237,395,0,0
9C905E19,0,0,0,0,0,0
FABB3479,1,13,382,542,0,0
90084A0A,,,,,,
5B29946F,5,12,279,770,0,0
0BB8FC62,1,11,128,415,0,0
5A3405FC,0,5,122,246,0,0
2F6C3917,1,15,120,852,0,0
76DEC521,1,8,66,158,0,0
9D85FF04,0,1,2,29,0,0
7B8F2FBA,0,0,34,139,0,0
E22FB29D,1,3,16,119,0,0
E3ED457B,2,12,279,319,0,0
AD5091C2,0,0,0,1,0,0
95DF1BD0,0,5,8,131,0,0
BDB5D8D7,1,8,67,170,0,0
7BE149DE,0,0,0,4,0,0
F50F3789,0,2,22,67,0,0
01AB8F94,0,1,5,18,0,0
CF8A7C4D,0,3,14,53,0,0
FD414098,0,0,0,37,0,0
A1239BD3,0,2,2,66,0,0
92812E64,1,5,69,164,0,0
246C7390,0,3,5,174,0,0
86411F5F,0,3,17,57,0,0
54E1F289,0,6,13,135,0,0
EC3D0F27,1,4,148,295,0,0
681A8416,0,7,5,100,0,0
50E2BFA7,0,0,58,93,0,0
4773E8FC,0,2,53,169,0,0
69866019,0,2,1,46,0,0
DDA4DABB,0,1,0,25,0,0
EB154A73,0,7,46,285,0,0
32F92545,1,26,160,608,0,0
A5281CA3,0,1,42,152,0,0
E6451417,0,7,16,218,0,0
25A5B532,0,8,5,161,0,0
6A07591F,0,12,151,473,0,0
7C3CD039,1,8,164,255,0,0
4AFED54E,0,3,32,133,0,0
BD124EE6,0,0,6,30,0,0
09EBDFBA,1,7,73,235,0,0
6B5E6B7A,0,3,28,75,0,0
038AF4DE,1,4,126,231,0,0
4F935B8C,1,0,32,132,0,0
EA50EF89,1,3,41,145,0,0
7D4C2947,1,9,62,252,0,0
434F31B1,0,3,37,135,0,0
8BEAC1C4,2,5,94,199,0,0
9D285B95,0,4,95,243,0,0
9DB882AA,1,2,0,54,0,0
2B647D6B,1,12,225,593,0,0
A4CCC610,0,2,60,119,0,0
8BFDE166,0,9,32,175,0,0
07313375,0,5,31,114,0,0
9EEDD3AA,1,7,65,295,0,0
FCF3D839,0,7,67,197,0,0
02130CD9,0,3,67,143,0,0
AF534E2E,0,0,17,42,0,0
5D41A336,0,5,16,92,0,0
B0316F42,1,5,51,209,0,0
BCE6A599,0,4,84,142,0,0
08BD6185,0,4,93,211,0,0
B3A7C598,0,1,0,9,0,0
160DF73D,0,5,18,75,0,0
6F09B204,,,,,,
2E71AD16,0,2,2,42,0,0
CEAE097A,0,1,2,54,0,0
9AC9CB09,0,0,0,0,0,0
7B6405CE,0,4,9,63,0,0
909A6472,0,1,96,126,0,0
F1554807,2,3,79,123,0,0
53D1441C,1,2,9,55,0,0
114A63B0,0,3,12,96,0,0
86E2043A,0,6,44,178,0,0
9E9911AA,0,3,8,34,0,0
84F5D48D,0,6,3,90,0,0
BC082D8F,0,1,128,144,0,0
C0D1B77D,0,0,0,12,0,0
1013E213,0,0,0,7,0,0
E3FE34EF,0,3,49,52,0,0
6ABEA4D4,,,,,,
68E7CB51,,,,,,
2AC1EBFD,0,4,19,43,0,0
C85F9FEC,0,0,0,18,0,0
EFBBBB04,0,2,17,26,0,0
F358335E,0,2,26,32,0,0
8124707E,0,4,192,264,0,0
9D321F6E,0,4,43,58,0,0
F8AA728A,0,4,85,179,0,0
FDA91F12,0,2,12,14,0,0
D847A696,0,1,2,6,0,0
DBB1E8E5,0,3,48,84,0,0
8B3ECE86,0,0,10,10,0,0
589D9CCC,0,1,7,10,0,0
136D365A,0,3,10,36,0,0
8CDFC9DC,7,12,630,918,0,0
243F541E,2,9,259,386,0,0
5220504A,3,12,347,649,0,0
605D3E0D,1,10,154,450,0,0
D112A44A,1,9,37,233,0,0
B10E1A5F,3,10,92,361,0,0
992034CB,1,5,33,115,0,0
FC9FEDBD,4,26,321,792,0,0
348BFACD,4,13,338,"1,000",0,0
BE136B64,3,7,316,592,0,0
A191741F,0,2,0,27,0,0
F221AD02,9,18,554,"1,264",0,0
A8618E7A,7,12,148,645,0,0
5EABF3B1,2,17,308,820,0,0
43044851,,,,,,
B803D60B,0,4,54,81,0,0
CF4E0923,2,6,167,424,0,0
857C83C6,2,14,341,680,0,0
6883F354,3,8,195,490,0,0
BA9BFC62,0,10,79,356,0,0
EE3ABC16,2,5,76,330,0,0
BE4D60F8,0,5,18,123,0,0
0CAFC13B,2,9,174,495,0,0
6BE3C5AD,2,7,112,250,0,0
38946B6E,2,8,254,625,0,0
7CCF240E,1,6,286,523,0,0
69401C67,0,2,10,25,0,0
A3DB5327,0,11,6,252,0,0
60BD2A90,1,5,99,250,0,0
7DEB2B94,2,5,26,148,0,0
3569B45D,0,0,0,0,0,0
C6A038D5,2,9,224,660,0,0
4D2D4923,4,10,138,533,0,0
0B819C22,2,8,64,282,0,0
0AD0B037,1,7,233,394,0,0
5C3B06D5,4,9,341,817,0,0
93154F27,1,5,48,105,0,0
4CB6EF5D,0,4,37,49,0,0
8CFDF401,2,6,133,268,0,0
8465620F,2,7,118,423,0,0
DF9309BD,2,3,59,137,0,0
2F3316BA,0,12,82,379,0,0
BB887532,1,5,64,223,0,0
F6CAAB9B,1,3,79,184,0,0
C8CBA750,4,0,474,850,0,0
DFF429DA,0,0,10,10,0,0
