thn_lahir,kode_nama,gender,Stat.Peg,Gol,Jabatan Fungsional,Pendidikan Terakhir,Fakultas,Nama Prodi
1962,C0233C4F,1,PNS,IV/c,Guru Besar,S3,FIP,Bimbingan Dan Konseling (S3)
1953,036A27B5,1,PNS,IV/e,Guru Besar,S3,FIP,Pengembangan Kurikulum (S3)
1954,E2B61FF1,2,PNS,IV/e,Guru Besar,S3,FIP,Pendidikan Masyarakat (S3)
1955,A91A80C2,1,PNS,IV/e,Guru Besar,S3,FIP,Pendidikan Khusus (S3)
1961,5E1CA9C9,1,PNS,IV/e,Guru Besar,S3,FIP,Pendidikan Masyarakat (S2)
1962,D4541E0B,1,PNS,IV/e,Guru Besar,S3,FIP,Bimbingan Dan Konseling (S1)
1966,7A3AF3EB,1,PNS,IV/e,Guru Besar,S3,FIP,Psikologi Pendidikan (S2)
1959,BD3227F4,1,PNS,IV/d,Guru Besar,S3,FIP,Bimbingan Dan Konseling (S3)
1952,032F38D9,1,PNS,IV/d,Guru Besar,S3,FIP,Bimbingan Dan Konseling (S2)
1956,4C06113E,1,PNS,IV/d,Guru Besar,S3,FIP,Pendidikan Masyarakat (S1)
1953,6B2046F0,1,PNS,IV/d,Guru Besar,S3,FIP,Pendidikan Dasar (S3)
1959,E1005289,1,PNS,IV/d,Guru Besar,S3,FIP,Administrasi Pendidikan (S3)
1970,7B39DA44,2,PNS,IV/d,Guru Besar,S3,FIP,Administrasi Pendidikan (S3)
1954,B8BFE6D2,1,PNS,IV/d,Guru Besar,S3,FIP,Pendidikan Profesi Guru (Profesi)
1953,3AE52598,2,PNS,IV/d,Guru Besar,S3,FIP,Pendidikan Dasar (S2)
1960,814A6C7C,1,PNS,IV/d,Guru Besar,S3,FIP,Pendidikan Masyarakat (S3)
1961,206C07DF,1,PNS,IV/c,Lektor Kepala,S3,FIP,Pedagogik (S2)
1957,4EA91453,1,PNS,IV/c,Lektor Kepala,S3,FIP,Pendidikan Masyarakat (S3)
1961,C419B9F8,1,PNS,IV/c,Lektor Kepala,S3,FIP,Pengembangan Kurikulum (S2)
1961,9384BCCE,1,PNS,IV/c,Lektor Kepala,S3,FIP,Pendidikan Masyarakat (S3)
1958,86D3F17B,1,PNS,IV/b,Guru Besar,S3,FIP,Bimbingan Dan Konseling (S2)
1971,C2DDDEEA,1,PNS,IV/b,Guru Besar,S3,FIP,Pengembangan Kurikulum (S3)
1966,8353C0D9,1,PNS,IV/b,Lektor Kepala,S3,FIP,Pengembangan Kurikulum (S3)
1960,62A3322F,1,PNS,IV/b,Lektor Kepala,S3,FIP,Administrasi Pendidikan (S3)
1957,D5D5B92A,1,PNS,IV/b,Lektor Kepala,S3,FIP,Pendidikan Khusus (S2)
1960,55B42B3C,1,PNS,IV/b,Lektor Kepala,S3,FIP,Psikologi Pendidikan (S2)
1957,AD8D0D5D,2,PNS,IV/b,Lektor Kepala,S3,FIP,Bimbingan Dan Konseling (S2)
1957,1D0AB876,1,PNS,IV/b,Lektor Kepala,S3,FIP,Pengembangan Kurikulum (S3)
1960,9D9DC044,2,PNS,IV/b,Lektor Kepala,S3,FIP,Pendidikan Anak Usia Dini (S2)
1961,8599DF61,1,PNS,IV/b,Lektor Kepala,S2,FIP,Administrasi Pendidikan (S1)
1959,6D1E1E3F,1,PNS,IV/b,Lektor Kepala,S3,FIP,Pendidikan Masyarakat (S3)
1962,512522F1,2,PNS,IV/b,Lektor Kepala,S3,FIP,Pedagogik (S2)
1960,E6E0045F,2,PNS,IV/b,Lektor Kepala,S2,FIP,Pendidikan Guru Sekolah Dasar (S1)
1959,AE2ED1D6,2,PNS,IV/b,Lektor Kepala,S2,FIP,Pendidikan Guru Sekolah Dasar (S1)
1959,56C6C1A2,1,PNS,IV/b,Lektor Kepala,S3,FIP,Pendidikan Khusus (S1)
1959,F459A4B6,1,PNS,IV/b,Lektor Kepala,S2,FIP,Pendidikan Guru Sekolah Dasar (S1)
1960,F37689E9,2,PNS,IV/b,Lektor Kepala,S3,FIP,Pendidikan Khusus (S2)
1959,E97C4B8A,1,PNS,IV/b,Lektor Kepala,S3,FIP,Pengembangan Kurikulum (S3)
1965,2476CA60,2,PNS,IV/b,Lektor Kepala,S3,FIP,Pendidikan Dasar (S2)
1970,866BD7B8,2,PNS,IV/b,Lektor Kepala,S3,FIP,Pendidikan Anak Usia Dini (S2)
1971,A6B0DA4E,1,PNS,IV/b,Lektor Kepala,S3,FIP,Administrasi Pendidikan (S2)
1957,A36C171D,1,PNS,IV/b,Lektor Kepala,S3,FIP,Administrasi Pendidikan (S1)
1957,07C8D3B0,1,PNS,IV/b,Lektor Kepala,S3,FIP,Pendidikan Khusus (S1)
1971,618356E3,1,PNS,IV/b,Lektor Kepala,S3,FIP,Administrasi Pendidikan (S2)
1960,D466906B,2,PNS,IV/b,Lektor,S3,FIP,Administrasi Pendidikan (S1)
1963,71E121A5,1,PNS,IV/b,Lektor,S3,FIP,Administrasi Pendidikan (S1)
1962,72611640,2,PNS,IV/b,Tenaga Pengajar,S2,FIP,Pedagogik (S2)
1963,4D5DE663,2,PNS,IV/b,Tenaga Pengajar,S2,FIP,Pedagogik (S2)
1956,C61EF3BA,1,PNS,IV/b,Guru Besar,S3,FIP,Pendidikan Khusus (S3)
1960,EE13AB76,1,PNS,IV/a,Lektor Kepala,S2,FIP,Teknologi Pendidikan (S1)
1958,06A24CDD,1,PNS,IV/a,Lektor Kepala,S3,FIP,Pendidikan Khusus (S3)
1957,FA6E2B69,2,PNS,IV/a,Lektor Kepala,S3,FIP,Pendidikan Khusus (S1)
1958,1DDFA65A,2,PNS,IV/a,Lektor Kepala,S2,FIP,Teknologi Pendidikan (S1)
1959,7E130893,1,PNS,IV/a,Lektor Kepala,S3,FIP,Pendidikan Profesi Guru (Profesi)
1962,7F6AA7AC,1,PNS,IV/a,Lektor Kepala,S3,FIP,Pendidikan Khusus (S1)
1960,1FE8F490,1,PNS,IV/a,Lektor Kepala,S3,FIP,Pendidikan Khusus (S3)
1959,DE7460C5,1,PNS,IV/a,Lektor Kepala,S2,FIP,Pendidikan Guru Sekolah Dasar (S1)
1960,378EF1DE,1,PNS,IV/a,Lektor Kepala,S3,FIP,Pendidikan Guru Sekolah Dasar (S1)
1972,C1CAD26E,1,PNS,IV/a,Lektor Kepala,S3,FIP,Pengembangan Kurikulum (S2)
1963,960313F3,2,PNS,IV/a,Lektor Kepala,S3,FIP,Pendidikan Khusus (S1)
1972,C941BEC7,1,PNS,IV/a,Lektor Kepala,S3,FIP,Administrasi Pendidikan (S3)
1961,474A635C,2,PNS,IV/a,Lektor Kepala,S2,FIP,Bimbingan Dan Konseling (S1)
1966,F7E907DA,2,PNS,IV/a,Lektor Kepala,S3,FIP,Bimbingan Dan Konseling (S3)
1972,EBE1C575,1,PNS,IV/a,Lektor Kepala,S3,FIP,Bimbingan Dan Konseling (S2)
1966,71F51B65,1,PNS,IV/a,Lektor Kepala,S3,FIP,Pedagogik (S2)
1974,92DA0FAA,1,PNS,IV/a,Lektor Kepala,S3,FIP,Pendidikan Anak Usia Dini (S2)
1960,8882361E,2,PNS,IV/a,Lektor Kepala,S3,FIP,Bimbingan Dan Konseling (S2)
1972,A6FFA938,1,PNS,IV/a,Lektor Kepala,S3,FIP,Administrasi Pendidikan (S3)
1977,60A37D76,2,PNS,IV/a,Lektor Kepala,S3,FIP,Pendidikan Anak Usia Dini (S2)
1961,9C905E19,1,PNS,IV/a,Lektor Kepala,S2,FIP,Psikologi (S1)
1977,FABB3479,1,PNS,IV/a,Lektor Kepala,S3,FIP,Pendidikan Dasar (S2)
1962,90084A0A,1,PNS,IV/a,Lektor Kepala,S2,FIP,Psikologi (S1)
1976,5B29946F,2,PNS,IV/a,Lektor Kepala,S3,FIP,Pendidikan Anak Usia Dini (S2)
1977,0BB8FC62,2,PNS,IV/a,Lektor Kepala,S3,FIP,Pengembangan Kurikulum (S2)
1970,5A3405FC,2,PNS,IV/a,Lektor Kepala,S3,FIP,Pendidikan Khusus (S3)
1979,2F6C3917,1,PNS,IV/a,Lektor Kepala,S3,FIP,Pedagogik (S2)
1969,76DEC521,2,PNS,IV/a,Lektor,S3,FIP,Perpustakaan dan Sains Informasi (S1)
1969,9D85FF04,1,PNS,IV/a,Tenaga Pengajar,S3,FIP,Pedagogik (S2)
1968,7B8F2FBA,1,PNS,III/d,Lektor,S3,FIP,Administrasi Pendidikan (S1)
1971,E22FB29D,1,PNS,III/d,Lektor,S3,FIP,Pendidikan Masyarakat (S1)
1971,E3ED457B,1,PNS,III/d,Lektor,S3,FIP,Psikologi Pendidikan (S2)
1962,AD5091C2,2,PNS,III/d,Lektor,S2,FIP,Bimbingan Dan Konseling (S1)
1961,95DF1BD0,1,PNS,III/d,Lektor,S3,FIP,Pedagogik (S2)
1958,BDB5D8D7,1,PNS,III/d,Lektor,S3,FIP,Bimbingan Dan Konseling (S1)
1962,7BE149DE,2,PNS,III/d,Lektor,S3,FIP,Bimbingan Dan Konseling (S1)
1966,F50F3789,1,PNS,III/d,Lektor,S3,FIP,Pendidikan Khusus (S2)
1961,01AB8F94,2,PNS,III/d,Lektor,S3,FIP,Pendidikan Khusus (S2)
1962,CF8A7C4D,2,PNS,III/d,Lektor,S2,FIP,Pendidikan Khusus (S1)
1959,FD414098,1,PNS,III/d,Lektor,S3,FIP,Psikologi Pendidikan (S2)
1963,A1239BD3,1,PNS,III/d,Lektor,S2,FIP,Bimbingan Dan Konseling (S1)
1968,92812E64,2,PNS,III/d,Lektor,S3,FIP,Administrasi Pendidikan (S2)
1970,246C7390,2,PNS,III/d,Lektor,S3,FIP,Administrasi Pendidikan (S1)
1968,86411F5F,1,PNS,III/d,Lektor,S2,FIP,Bimbingan Dan Konseling (S1)
1971,54E1F289,1,PNS,III/d,Lektor Kepala,S3,FIP,Pendidikan Masyarakat (S2)
1970,EC3D0F27,2,PNS,III/d,Lektor,S3,FIP,Pendidikan Masyarakat (S2)
1976,681A8416,2,PNS,III/d,Lektor,S2,FIP,Administrasi Pendidikan (S1)
1967,50E2BFA7,1,PNS,III/d,Lektor,S3,FIP,Administrasi Pendidikan (S2)
1966,4773E8FC,1,PNS,III/d,Lektor,S3,FIP,Administrasi Pendidikan (S2)
1970,69866019,1,PNS,III/d,Lektor,S3,FIP,Administrasi Pendidikan (S1)
1978,DDA4DABB,2,PNS,III/d,Lektor,S3,FIP,Administrasi Pendidikan (S1)
1976,EB154A73,2,PNS,III/d,Lektor Kepala,S3,FIP,Perpustakaan dan Sains Informasi (S1)
1975,32F92545,1,PNS,III/d,Lektor,S3,FIP,Pendidikan Dasar (S3)
1979,A5281CA3,1,PNS,III/d,Lektor,S3,FIP,Administrasi Pendidikan (S1)
1978,E6451417,2,PNS,III/d,Lektor,S2,FIP,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
1968,25A5B532,1,PNS,III/d,Lektor,S2,FIP,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
1970,6A07591F,1,PNS,IV/a,Lektor Kepala,S3,FIP,Pendidikan Masyarakat (S3)
1969,7C3CD039,1,PNS,III/d,Lektor,S3,FIP,Pengembangan Kurikulum (S2)
1972,4AFED54E,2,PNS,III/d,Lektor,S3,FIP,Pendidikan Anak Usia Dini (S2)
1970,BD124EE6,2,PNS,III/d,Lektor,S3,FIP,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
1977,09EBDFBA,2,PNS,III/d,Lektor,S3,FIP,Bimbingan Dan Konseling (S2)
1966,6B5E6B7A,2,PNS,III/d,Lektor,S3,FIP,Psikologi (S1)
1973,038AF4DE,2,PNS,III/d,Lektor,S3,FIP,Pendidikan Masyarakat (S2)
1974,4F935B8C,1,PNS,III/d,Lektor,S3,FIP,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
1974,EA50EF89,1,PNS,III/d,Lektor,S2,FIP,Administrasi Pendidikan (S1)
1966,7D4C2947,2,PNS,III/d,Lektor Kepala,S3,FIP,Administrasi Pendidikan (S2)
1977,434F31B1,2,PNS,III/d,Lektor,S2,FIP,Pendidikan Khusus (S1)
1979,8BEAC1C4,2,PNS,III/d,Lektor,S3,FIP,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
1976,9D285B95,2,PNS,III/d,Lektor,S3,FIP,Pendidikan Masyarakat (S2)
1975,9DB882AA,2,PNS,III/d,Lektor,S2,FIP,Teknologi Pendidikan (S1)
1973,2B647D6B,2,PNS,III/d,Lektor,S3,FIP,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
1975,A4CCC610,2,PNS,III/d,Lektor,S3,FIP,Pendidikan Masyarakat (S1)
1970,8BFDE166,2,PNS,III/d,Lektor,S3,FIP,Psikologi (S1)
1968,07313375,2,PNS,III/d,Lektor,S2,FIP,Pendidikan Guru Sekolah Dasar (S1)
1973,9EEDD3AA,2,PNS,III/d,Lektor,S2,FIP,Perpustakaan dan Sains Informasi (S1)
1985,FCF3D839,2,PNS,III/d,Lektor,S2,FIP,Pendidikan Guru Sekolah Dasar (S1)
1980,02130CD9,2,PNS,III/d,Lektor,S2,FIP,Pendidikan Guru Sekolah Dasar (S1)
1979,AF534E2E,1,PNS,III/d,Lektor,S3,FIP,Pendidikan Guru Sekolah Dasar (S1)
1977,5D41A336,1,PNS,III/d,Lektor,S2,FIP,Pendidikan Guru Sekolah Dasar (S1)
1972,B0316F42,2,PNS,III/d,Lektor,S3,FIP,Psikologi Pendidikan (S2)
1971,BCE6A599,2,PNS,III/d,Lektor,S3,FIP,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
1984,08BD6185,1,PNS,III/d,Lektor,S2,FIP,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
1958,B3A7C598,2,PNS,III/c,Lektor,S2,FIP,Bimbingan Dan Konseling (S1)
1979,160DF73D,2,PNS,III/c,Lektor,S3,FIP,Pendidikan Guru Sekolah Dasar (S1)
1979,6F09B204,2,PNS,III/c,Lektor,S3,FIP,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
1978,2E71AD16,2,PNS,III/c,Lektor,S2,FIP,Psikologi (S1)
1975,CEAE097A,2,PNS,III/c,Lektor,S3,FIP,Pendidikan Khusus (S2)
1963,9AC9CB09,2,PNS,III/c,Lektor,S2,FIP,Psikologi (S1)
1977,7B6405CE,2,PNS,III/c,Lektor,S2,FIP,Psikologi (S1)
1982,909A6472,1,PNS,III/c,Lektor,S2,FIP,Psikologi (S1)
1983,F1554807,1,PNS,III/c,Lektor,S3,FIP,Bimbingan Dan Konseling (S1)
1979,53D1441C,1,PNS,III/c,Lektor,S2,FIP,Psikologi (S1)
1975,114A63B0,1,PNS,III/c,Lektor,S2,FIP,Psikologi (S1)
1982,86E2043A,1,PNS,III/c,Lektor,S3,FIP,Pendidikan Guru Sekolah Dasar (S1)
1982,9E9911AA,2,PNS,III/c,Lektor,S2,FIP,Pendidikan Khusus (S1)
1986,84F5D48D,2,PNS,III/c,Lektor,S2,FIP,Perpustakaan dan Sains Informasi (S1)
1986,BC082D8F,1,PNS,III/c,Lektor,S3,FIP,Pendidikan Masyarakat (S1)
1982,C0D1B77D,2,PNS,III/c,Lektor,S2,FIP,Teknologi Pendidikan (S1)
1969,1013E213,1,PNS,III/c,Lektor,S2,FIP,Pendidikan Khusus (S1)
1978,E3FE34EF,2,PNS,III/c,Lektor,S2,FIP,Psikologi (S1)
1975,6ABEA4D4,2,PNS,III/c,Lektor,S2,FIP,Psikologi (S1)
1971,68E7CB51,1,PNS,III/b,Asisten Ahli,S2,FIP,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
1974,2AC1EBFD,1,PNS,III/b,Asisten Ahli,S2,FIP,Psikologi (S1)
1978,C85F9FEC,2,PNS,III/b,Lektor,S2,FIP,Psikologi (S1)
1983,EFBBBB04,2,PNS,III/b,Lektor,S2,FIP,Psikologi (S1)
1986,F358335E,1,PNS,III/b,Asisten Ahli,S2,FIP,Pendidikan Guru Sekolah Dasar (S1)
1988,8124707E,1,PNS,III/b,Asisten Ahli,S2,FIP,Perpustakaan dan Sains Informasi (S1)
1989,9D321F6E,2,PNS,III/b,Asisten Ahli,S2,FIP,Pendidikan Guru Sekolah Dasar (S1)
1988,F8AA728A,1,PNS,III/b,Asisten Ahli,S2,FIP,Perpustakaan dan Sains Informasi (S1)
1983,FDA91F12,2,PNS,III/b,Asisten Ahli,S2,FIP,Pendidikan Masyarakat (S1)
1991,D847A696,2,PNS,III/b,Asisten Ahli,S2,FIP,Pendidikan Guru Sekolah Dasar (S1)
1991,DBB1E8E5,1,PNS,III/b,Asisten Ahli,S2,FIP,Pendidikan Guru Sekolah Dasar (S1)
1991,8B3ECE86,2,CPNS,III/b,Tenaga Pengajar,S2,FIP,Psikologi (S1)
1992,589D9CCC,1,PNS,III/b,Tenaga Pengajar,S2,FIP,Psikologi (S1)
1991,136D365A,1,CPNS,III/b,Tenaga Pengajar,S2,FIP,Administrasi Pendidikan (S1)
1993,8CDFC9DC,2,CPNS,III/b,Tenaga Pengajar,S2,FIP,Pendidikan Khusus (S1)
1952,243F541E,1,PNS,,Guru Besar,S3,FIP,Pendidikan Khusus (S1)
1962,5220504A,1,PNS,IV/e,Guru Besar,S3,FPIPS,Pendidikan Ilmu Pengetahuan Sosial (S3)
1970,605D3E0D,1,PNS,IV/e,Guru Besar,S3,FPIPS,Pendidikan Kewarganegaraan (S3)
1954,D112A44A,1,PNS,IV/e,Guru Besar,S3,FPIPS,Pendidikan Kewarganegaraan (S3)
1959,B10E1A5F,1,PNS,IV/e,Guru Besar,S3,FPIPS,Pendidikan Kewarganegaraan (S3)
1962,992034CB,1,PNS,IV/e,Guru Besar,S3,FPIPS,Pendidikan Kewarganegaraan (S3)
1962,FC9FEDBD,1,PNS,IV/e,Guru Besar,S3,FPIPS,Pendidikan Geografi (S2)
1960,348BFACD,2,PNS,IV/e,Guru Besar,S3,FPIPS,Pendidikan Geografi (S3)
1964,BE136B64,1,PNS,IV/e,Guru Besar,S3,FPIPS,Pendidikan Geografi (S3)
1955,A191741F,1,PNS,IV/e,Guru Besar,S3,FPIPS,Pendidikan Agama Islam (S2)
1972,F221AD02,2,PNS,IV/e,Guru Besar,S3,FPIPS,Pendidikan Kewarganegaraan (S2)
1970,A8618E7A,1,PNS,IV/d,Guru Besar,S3,FPIPS,Pendidikan Sejarah (S3)
1966,5EABF3B1,2,PNS,IV/d,Guru Besar,S3,FPIPS,Pariwisata (S2)
1963,43044851,1,PNS,IV/d,Guru Besar,S3,FPIPS,Pendidikan Kewarganegaraan (S2)
1959,B803D60B,1,PNS,IV/d,Guru Besar,S3,FPIPS,Pendidikan Umum dan Karakter (S3)
1962,CF4E0923,1,PNS,IV/d,Guru Besar,S3,FPIPS,Pendidikan Geografi (S2)
1961,857C83C6,1,PNS,IV/d,Guru Besar,S3,FPIPS,Pendidikan Sejarah (S3)
1958,6883F354,1,PNS,IV/d,Guru Besar,S3,FPIPS,Pendidikan Geografi (S2)
1969,BA9BFC62,1,PNS,IV/d,Guru Besar,S3,FPIPS,Pendidikan Kewarganegaraan (S3)
1961,EE3ABC16,1,PNS,IV/d,Guru Besar,S3,FPIPS,Pendidikan Umum dan Karakter (S3)
1957,BE4D60F8,1,PNS,IV/d,Guru Besar,S3,FPIPS,Pendidikan Agama Islam (S2)
1955,0CAFC13B,1,PNS,IV/d,Guru Besar,S3,FPIPS,Pendidikan Umum dan Karakter (S3)
