,,,,
Nama Wilayah,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,Jumlah Penduduk Miskin Kab/Kota (Ribu Orang),Persentase Penduduk Miskin Menurut Kabupaten/Kota (Persen)
,2020,2020,2020,2020
ACEH,2.72,0.71,814.91,14.99
Simeulue,2.21,0.47,17.34,18.49
Aceh Singkil,3.55,1.03,25.43,20.20
Aceh Selatan,2.13,0.46,30.91,12.87
Aceh Tenggara,1.62,0.36,28.98,13.21
Aceh Timur,2.29,0.61,62.34,14.08
Aceh Tengah,2.89,0.95,32.48,15.08
Aceh Barat,2.74,0.68,39.06,18.34
Aceh Besar,2.40,0.61,59.70,13.84
Pidie,2.20,0.45,86.39,19.23
Bireuen,1.95,0.45,62.42,13.06
Aceh Utara,2.60,0.63,106.41,17.02
Aceh Barat Daya,3.41,0.90,24.21,15.93
Gayo Lues,2.44,0.66,18.42,19.32
Aceh Tamiang,1.61,0.28,38.93,13.08
Nagan Raya,3.33,0.94,29.99,17.70
Aceh Jaya,2.19,0.54,12.11,12.87
Bener Meriah,3.52,0.97,28.38,18.89
Pidie Jaya,3.08,0.81,31.39,19.19
Kota Banda Aceh,1.00,0.23,18.97,6.90
Kota Sabang,1.94,0.54,5.27,14.94
Kota Langsa,1.60,0.36,18.65,10.44
Kota Lhokseumawe,1.56,0.29,22.69,10.80
Kota Subulussalam,2.27,0.44,14.46,17.60
SUMATERA UTARA,1.51,0.39,1283.29,8.75
Nias,1.91,0.32,23.12,16.60
Mandailing Natal,1.14,0.19,41.31,9.18
Tapanuli Selatan,0.87,0.16,23.96,8.47
Tapanuli Tengah,1.84,0.44,47.19,12.38
Tapanuli Utara,1.18,0.21,28.41,9.37
Toba Samosir,1.00,0.18,16.05,8.71
Labuhan Batu,0.98,0.18,42.17,8.44
Asahan,1.37,0.33,66.32,9.04
Simalungun,1.47,0.35,73.64,8.46
Dairi,1.09,0.20,22.93,8.04
Karo,1.39,0.38,36.57,8.70
Deli Serdang,0.55,0.16,86.26,3.88
Langkat,1.52,0.33,101.87,9.73
Nias Selatan,2.82,0.76,53.88,16.74
Humbang Hasundutan,1.29,0.30,17.92,9.36
Pakpak Bharat,1.38,0.38,4.59,9.28
Samosir,1.84,0.46,15.80,12.48
Serdang Bedagai,0.98,0.20,49.18,7.97
