kabu_kota,indeks_kedalaman_kemiskinan_p1,indeks_keparahan_kemiskinan_p2,jum_penduduk_miskin,persen_penduduk_miskin,prop,indeks_pembangunan_gender,kabu_kota_lengkap,level_ppkm_sep_21
Simeulue,2.21,0.47,17.34,18.49,ACEH,77.97,Kabupaten Simeulue,
Aceh Singkil,3.55,1.03,25.43,20.2,ACEH,84.48,Kabupaten Aceh Singkil,
Aceh Selatan,2.13,0.46,30.91,12.87,ACEH,91.56,Kabupaten Aceh Selatan,
Aceh Tenggara,1.62,0.36,28.98,13.21,ACEH,93.0,Kabupaten Aceh Tenggara,
Aceh Timur,2.29,0.61,62.34,14.08,ACEH,85.73,Kabupaten Aceh Timur,
Aceh Tengah,2.89,0.95,32.48,15.08,ACEH,97.35,Kabupaten Aceh Tengah,
Aceh Barat,2.74,0.68,39.06,18.34,ACEH,85.76,Kabupaten Aceh Barat,
Aceh Besar,2.4,0.61,59.7,13.84,ACEH,94.9,Kabupaten Aceh Besar,
Pidie,2.2,0.45,86.39,19.23,ACEH,93.58,Kabupaten Pidie,
Bireuen,1.95,0.45,62.42,13.06,ACEH,94.91,Kabupaten Bireuen,
Aceh Utara,2.6,0.63,106.41,17.02,ACEH,92.55,Kabupaten Aceh Utara,
Aceh Barat Daya,3.41,0.9,24.21,15.93,ACEH,89.82,Kabupaten Aceh Barat Daya,
Gayo Lues,2.44,0.66,18.42,19.32,ACEH,88.91,Kabupaten Gayo Lues,
Aceh Tamiang,1.61,0.28,38.93,13.08,ACEH,81.95,Kabupaten Aceh Tamiang,
Nagan Raya,3.33,0.94,29.99,17.7,ACEH,90.31,Kabupaten Nagan Raya,
Aceh Jaya,2.19,0.54,12.11,12.87,ACEH,89.47,Kabupaten Aceh Jaya,
Bener Meriah,3.52,0.97,28.38,18.89,ACEH,96.6,Kabupaten Bener Meriah,
Pidie Jaya,3.08,0.81,31.39,19.19,ACEH,94.92,Kabupaten Pidie Jaya,
Kota Banda Aceh,1.0,0.23,18.97,6.9,ACEH,95.26,Kota Banda Aceh,
Kota Sabang,1.94,0.54,5.27,14.94,ACEH,95.81,Kota Sabang,
Kota Langsa,1.6,0.36,18.65,10.44,ACEH,95.61,Kota Langsa,
Kota Lhokseumawe,1.56,0.29,22.69,10.8,ACEH,94.9,Kota Lhokseumawe,
Kota Subulussalam,2.27,0.44,14.46,17.6,ACEH,85.06,Kota Subulussalam,
Nias,1.91,0.32,23.12,16.6,SUMATERA UTARA,90.81,Kabupaten Nias,
Mandailing Natal,1.14,0.19,41.31,9.18,SUMATERA UTARA,93.24,Kabupaten Mandailing Natal,
Tapanuli Selatan,0.87,0.16,23.96,8.47,SUMATERA UTARA,90.86,Kabupaten Tapanuli Selatan,
Tapanuli Tengah,1.84,0.44,47.19,12.38,SUMATERA UTARA,94.85,Kabupaten Tapanuli Tengah,
Tapanuli Utara,1.18,0.21,28.41,9.37,SUMATERA UTARA,97.98,Kabupaten Tapanuli Utara,
Toba Samosir,1.0,0.18,16.05,8.71,SUMATERA UTARA,97.96,Kabupaten Toba Samosir,
