Provinsi,2019,2020,2021
ACEH,71.90,71.99,72.18
SUMATERA UTARA,71.74,71.77,72.00
SUMATERA BARAT,72.39,72.38,72.65
RIAU,73.00,72.71,72.94
JAMBI,71.26,71.29,71.63
SUMATERA SELATAN,70.02,70.01,70.24
BENGKULU,71.21,71.40,71.64
LAMPUNG,69.57,69.69,69.90
KEP. BANGKA BELITUNG,71.30,71.47,71.69
KEP. RIAU,75.48,75.59,75.79
DKI JAKARTA,80.76,80.77,81.11
JAWA BARAT,72.03,72.09,72.45
JAWA TENGAH,71.73,71.87,72.16
DI YOGYAKARTA,79.99,79.97,80.22
JAWA TIMUR,71.50,71.71,72.14
BANTEN,72.44,72.45,72.72
BALI,75.38,75.50,75.69
NUSA TENGGARA BARAT,68.14,68.25,68.65
NUSA TENGGARA TIMUR,65.23,65.19,65.28
KALIMANTAN BARAT,67.65,67.66,67.90
KALIMANTAN TENGAH,70.91,71.05,71.25
KALIMANTAN SELATAN,70.72,70.91,71.28
KALIMANTAN TIMUR,76.61,76.24,76.88
KALIMANTAN UTARA,71.15,70.63,71.19
SULAWESI UTARA,72.99,72.93,73.30
SULAWESI TENGAH,69.50,69.55,69.79
SULAWESI SELATAN,71.66,71.93,72.24
SULAWESI TENGGARA,71.20,71.45,71.66
GORONTALO,68.49,68.68,69.00
SULAWESI BARAT,65.73,66.11,66.36
MALUKU,69.45,69.49,69.71
MALUKU UTARA,68.70,68.49,68.76
PAPUA BARAT,64.70,65.09,65.26
PAPUA,60.84,60.44,60.62
INDONESIA,71.92,71.94,72.29
