Provinsi/Kabupaten/Kota,"Indeks Pembangunan Gender (IPG) 
2020"
ACEH,92.07
Simeulue,77.97
Aceh Singkil,84.48
Aceh Selatan,91.56
Aceh Tenggara,93.00
Aceh Timur,85.73
Aceh Tengah,97.35
Aceh Barat,85.76
Aceh Besar,94.90
Pidie,93.58
Bireuen,94.91
Aceh Utara,92.55
Aceh Barat Daya,89.82
Gayo Lues,88.91
Aceh Tamiang,81.95
Nagan Raya,90.31
Aceh Jaya,89.47
Bener Meriah,96.60
Pidie Jaya,94.92
Kota Banda Aceh,95.26
Kota Sabang,95.81
Kota Langsa,95.61
Kota Lhokseumawe,94.90
Kota Subulussalam,85.06
SUMATERA UTARA,90.67
Nias,90.81
Mandailing Natal,93.24
Tapanuli Selatan,90.86
Tapanuli Tengah,94.85
Tapanuli Utara,97.98
Toba Samosir,97.96
Labuhan Batu,90.86
Asahan,91.51
Simalungun,93.02
Dairi,98.02
Karo,96.19
Deli Serdang,91.29
Langkat,89.24
Nias Selatan,87.58
Humbang Hasundutan,97.38
Pakpak Bharat,99.02
Samosir,96.51
Serdang Bedagai,88.74
Batu Bara,83.08
Padang Lawas Utara,87.92
Padang Lawas,85.75
Labuhan Batu Selatan,87.43
Labuhan Batu Utara,89.80
Nias Utara,79.37
Nias Barat,86.67
Kota Sibolga,97.63
Kota Tanjung Balai,89.69
Kota Pematang Siantar,95.65
Kota Tebing Tinggi,93.53
Kota Medan,94.00
Kota Binjai,90.57
Kota Padangsidimpuan,97.67
Kota Gunungsitoli,89.31
SUMATERA BARAT,94.17
Kepulauan Mentawai,89.59
Pesisir Selatan,95.12
Solok,96.18
Sijunjung,93.03
Tanah Datar,97.57
Padang Pariaman,92.69
Agam,97.01
Lima Puluh Kota,95.03
Pasaman,92.45
Solok Selatan,95.08
Dharmasraya,88.31
Pasaman Barat,90.26
Kota Padang,93.64
Kota Solok,97.05
Kota Sawah Lunto,95.48
Kota Padang Panjang,97.70
Kota Bukittinggi,98.89
Kota Payakumbuh,98.46
Kota Pariaman,98.49
RIAU,88.14
Kuantan Singingi,90.16
Indragiri Hulu,86.94
Indragiri Hilir,82.34
Pelalawan,88.06
Siak,88.62
Kampar,89.52
Rokan Hulu,81.88
Bengkalis,90.07
Rokan Hilir,84.91
Kepulauan Meranti,86.30
Kota Pekanbaru,93.01
Kota Dumai,90.66
JAMBI,88.41
Kerinci,86.65
Merangin,88.14
Sarolangun,90.55
Batang Hari,85.01
Muaro Jambi,80.08
Tanjung Jabung Timur,87.50
Tanjung Jabung Barat,85.66
Tebo,90.06
Bungo,88.54
Kota Jambi,94.03
Kota Sungai Penuh,94.31
SUMATERA SELATAN,92.38
Ogan Komering Ulu,94.00
Ogan Komering Ilir,91.30
Muara Enim,89.64
Lahat,94.60
Musi Rawas,85.45
Musi Banyuasin,82.90
Banyu Asin,88.93
Ogan Komering Ulu Selatan,92.62
Ogan Komering Ulu Timur,94.00
Ogan Ilir,99.13
Empat Lawang,93.38
Penukal Abab Lematang Ilir,93.17
Musi Rawas Utara,92.82
Kota Palembang,95.97
Kota Prabumulih,93.70
Kota Pagar Alam,94.46
Kota Lubuklinggau,95.83
BENGKULU,91.00
Bengkulu Selatan,94.14
Rejang Lebong,93.78
Bengkulu Utara,91.23
Kaur,87.12
Seluma,85.65
Mukomuko,83.88
Lebong,91.60
Kepahiang,95.80
Bengkulu Tengah,86.83
Kota Bengkulu,95.67
LAMPUNG,90.33
Lampung Barat,92.95
Tanggamus,91.13
Lampung Selatan,89.60
Lampung Timur,88.83
Lampung Tengah,89.87
Lampung Utara,89.46
Way Kanan,88.19
Tulangbawang,89.31
Pesawaran,87.20
Pringsewu,92.33
Mesuji,84.17
Tulang Bawang Barat,88.56
Pesisir Barat,93.21
Kota Bandar Lampung,93.86
Kota Metro,95.55
KEP. BANGKA BELITUNG,88.92
Bangka,88.48
Belitung,88.28
Bangka Barat,90.03
Bangka Tengah,91.49
Bangka Selatan,83.81
Belitung Timur,86.37
Kota Pangkal Pinang,93.16
KEPULAUAN RIAU,93.31
Karimun,91.25
Bintan,93.12
Natuna,91.67
Lingga,89.25
Kepulauan Anambas,90.27
Kota Batam,94.43
Kota Tanjung Pinang,96.79
DKI JAKARTA,94.63
Kep. Seribu,93.39
Kota Jakarta Selatan,96.14
Kota Jakarta Timur,95.48
Kota Jakarta Pusat,96.00
Kota Jakarta Barat,95.16
Kota Jakarta Utara,93.53
JAWA BARAT,89.20
Bogor,89.23
Sukabumi,87.37
Cianjur,84.14
Bandung,93.95
Garut,82.29
Tasikmalaya,86.02
Ciamis,86.61
Kuningan,86.81
Cirebon,83.47
Majalengka,85.91
Sumedang,95.18
Indramayu,88.15
Subang,90.53
Purwakarta,86.56
Karawang,90.12
Bekasi,88.58
Bandung Barat,79.06
Pangandaran,89.78
Kota Bogor,91.02
Kota Sukabumi,91.36
Kota Bandung,94.68
Kota Cirebon,94.39
Kota Bekasi,92.95
Kota Depok,93.01
Kota Cimahi,92.01
Kota Tasikmalaya,91.64
Kota Banjar,87.17
JAWA TENGAH,92.18
Cilacap,86.69
Banyumas,88.27
Purbalingga,92.78
Banjarnegara,95.28
Kebumen,93.05
Purworejo,94.96
