L2,L3,L4
Kabupaten Serang,Kepulauan Seribu,Kabupaten Ponorogo
Kabupaten Pandeglang,Jakarta Barat,Kabupaten Magetan
Kabupaten Lebak,Jakarta Timur,Kabupaten Jembrana
Kabupaten Kuningan,Jakarta Selatan,Kabupaten Bangli
Kabupaten Sukabumi,Jakarta Utara,Kabupaten Karangasem
Kabupaten Pangandaran,Jakarta Pusat,Kabupaten Badung
Kabupaten Purwakarta,Kota Tangerang,Kabupaten Gianyar
Kabupaten Majalengka,Kota Cilegon,Kabupaten Klungkung
Kabupaten Karawang,Kabupaten Tangerang,Kabupaten Tabanan
Kabupaten Indramayu,Kota Tangerang Selatan,Kabupaten Buleleng
Kabupaten Ciamis,Kota Serang,Kota Denpasar
Kabupaten Cianjur,Kota Sukabumi,
Kabupaten Subang,Kota Cirebon,
Kabupaten Garut,Kota Bogor,
Kabupaten Banjarnegara,Kota Bekasi,
Kabupaten Wonosobo,Kota Bandung,
Kabupaten Temanggung,Kabupaten Tasikmalaya,
Kabupaten Tegal,Kota Tasikmalaya,
Kabupaten Rembang,Kota Depok,
Kabupaten Pemalang,Kota Cimahi,
Kabupaten Pati,Kota Banjar,
Kabupaten Kudus,Kabupaten Cirebon,
Kota Semarang,Kabupaten Bogor,
Kota Pekalongan,Kabupaten Bekasi,
Kabupaten Kendal,Kabupaten Bandung Barat,
Kabupaten Semarang,Kabupaten Bandung,
Kabupaten Pekalongan,Kabupaten Sumedang,
Kabupaten Jepara,Kabupaten Wonogiri,
Kabupaten Grobogan,Kabupaten Sukoharjo,
Kabupaten Blora,Kabupaten Sragen,
Kabupaten Batang,Kabupaten Purworejo,
Kabupaten Demak,Kabupaten Purbalingga,
Kabupaten Banyuwangi,Kabupaten Magelang,
Kabupaten Bondowoso,Kota Magelang,
Kabupaten Tuban,Kota Tegal,
Kabupaten Sumenep,Kota Surakarta,
Kabupaten Sampang,Kota Salatiga,
Kabupaten Probolinggo,Kabupaten Klaten,
Kabupaten Pasuruan,Kabupaten Kebumen,
Kabupaten Pamekasan,Kabupaten Karanganyar,
Kota Pasuruan,Kabupaten Cilacap,
Kabupaten Jember,Kabupaten Banyumas,
Kabupaten Bojonegoro,Kabupaten Brebes,
,Kabupaten Boyolali,
,Kabupaten Sleman,
,Kabupaten Bantul,
,Kota Yogyakarta,
,Kabupaten Kulonprogo,
,Kabupaten Gunungkidul,
,Kabupaten Blitar,
,Kabupaten Tulungagung,
,Kabupaten Trenggalek,
,Kabupaten Situbondo,
,Kabupaten Sidoarjo,
,Kabupaten Pacitan,
,Kabupaten Ngawi,
,Kabupaten Madiun,
,Kabupaten Lumajang,
,Kota Blitar,
,Kota Surabaya,
,Kota Probolinggo,
,Kota Mojokerto,
,Kota Malang,
,Kota Madiun,
,Kota Kediri,
,Kota Batu,
,Kabupaten Kediri,
,Kabupaten Jombang,
,Kabupaten Nganjuk,
,Kabupaten Mojokerto,
,Kabupaten Malang,
,Kabupaten Lamongan,
,Kabupaten Gresik,
,Kabupaten Bangkalan,
